longitude,latitude,year,locality
-51.080663,64.413425,2007,Storø - Qingaaq
-52.572556,71.638849,2010,Umiamako
-50.623331,69.640827,2010,Qeqertaa
-50.623408,69.640845,2010,Qeqertaa
-50.618939,69.640127,2010,Qeqertaa
-50.618104,69.640744,2010,Qeqertaa
-50.632176,69.641689,2010,Qeqertaa
-50.632176,69.641689,2010,Qeqertaa
-50.638464,69.643011,2010,Qeqertaa
-50.635551,69.641615,2010,Qeqertaa
-50.64498,69.643025,2010,Qeqertaa
-50.64498,69.643025,2010,Qeqertaa
-50.613826,69.639479,2010,Qeqertaa
-50.613826,69.639479,2010,Qeqertaa
-50.613826,69.639479,2010,Qeqertaa
-51.459421,66.35519,2005,Spider Lake 01
-51.456094,66.354043,2005,Spider Lake 02
-51.464004,66.352898,2005,Spider Lake 03
-51.464004,66.352898,2005,Spider Lake 03
-51.464004,66.352898,2005,Spider Lake 03
-51.461539,66.354915,2005,Spider Lake 07
-51.670769,66.361413,2005,Garnet Lake 01
-51.670769,66.361413,2005,Garnet Lake 01
-51.671816,66.361282,2005,Garnet Lake 10
-51.671357,66.360809,2005,Garnet Lake 11
-51.671036,66.360523,2005,Garnet Lake 12
-51.671036,66.360523,2005,Garnet Lake 12
-51.664388,66.366033,2005,Garnet Lake 08
-51.664388,66.366033,2005,Garnet Lake 08
-51.664509,66.366401,2005,Garnet Lake 15
-51.668903,66.369369,2005,Garnet Lake 14
-51.660268,66.365809,2005,Garnet Lake 05
-51.65814,66.36309,2005,Garnet Lake 18
-51.639565,66.362199,2005,Garnet Lake 13
-51.491347,66.344668,2005,Conductor
-51.491347,66.344668,2005,Conductor
-51.468101,66.555735,2005,Bulls Eye
-51.680246,66.36801,2005,Garnet Lake 23
-51.68162,66.367556,2005,Garnet Lake 24
-51.674249,66.364484,2005,Garnet Lake 25
-51.666983,66.361061,2006,Garnet Lake East
-51.660107,66.361386,2006,Garnet Lake East
-51.654112,66.362058,2006,Garnet Lake East
-51.668879,66.35672,2006,Garnet Lake South
-51.489204,66.451335,2006,DeBeers Lake
-51.499809,66.453347,2006,DeBeers Lake
-51.653266,66.36216,2006,Garnet Lake East
-51.653266,66.36216,2006,Garnet Lake East
-51.66575,66.363471,2006,Garnet Lake North
-52.07028,66.579338,2007,Jovan Pick 37
-52.128286,66.564199,2007,Jovan Pick 12
-52.256254,66.554649,2007,Jovan Pick 39
-52.168097,66.544824,2007,Jovan Pick 17
-52.40428,66.496361,2007,Jovan Pick Block 2-21 
-52.399991,66.496822,2007,Jovan Pick Block 2-21 vicinity
-52.399991,66.496822,2007,Jovan Pick Block 2-21 vicinity
-52.451132,66.497747,2007,Jovan Pick block 2-5
-52.109616,66.641169,2007,Jovan Pick 25
-52.109616,66.641169,2007,Jovan Pick 25 opp. Direction
-52.028562,66.646754,2007,Jovan Pick 36
-52.054988,66.658323,2007,Jovan Pick 34
-52.071155,66.578713,2007,Direction of Jovan Pick 37
-52.789418,71.664579,2010,Niaqornakassak
-52.789418,71.664579,2010,Niaqornakassak
-52.775805,71.663583,2010,Niaqornakassak
-52.775805,71.663583,2010,Niaqornakassak
-52.775805,71.663583,2010,Niaqornakassak
-52.811271,71.666022,2010,Niaqornakassak
-52.811271,71.666022,2010,Niaqornakassak
-52.811271,71.666022,2010,Niaqornakassak
-52.572556,71.638849,2010,Umiamako
-51.083752,64.412395,2005,Storø - Qingaaq
-51.47832,64.81585,2009,Amikoq - Paradise Valley
-24.266153,71.956903,2005,Malmbjerg Arcturus Adit
-28.313583,83.094877,2010,Citronen Fjord - Beach Zone
-51.271185,66.530327,2009,Sarfartoq - ST40
-52.203805,66.552413,2012,White Mountain (Qaqortorssuaq)
-50.973734,71.111728,2007,Black Angel - Glacier Zone
-44.90711,60.32329,2009,Kirkespirdalen Delta
-45.872151,60.866917,2007,"Ilimausaq, Kringlerne"
-44.845083,60.360111,2007,Nalunaq
-49.767939,65.203033,2010,Isua (Isukasia)
-44.837465,60.353909,2001,Nalunaq
-51.061963,64.45099,2006,Storø - Qingaaq
-46.006736,60.971755,2009,"Ilimausaq, Kvanefjeld"
-45.23619,60.52866,2009,Niaqornaarsuk Delta
-51.12005,64.66969,2008,Qussuk - Plateau
-52.20848,66.554196,2012,White Mountain (Qaqortorssuaq)
-45.039011,60.227074,2005,Lake 410
-45.871829,60.866847,2007,"Ilimausaq, Kringlerne"
-44.848474,60.360114,2004,Nalunaq
-45.868226,60.969361,2011,"Ilimausaq, Zone 3"
-45.871369,60.866644,2007,"Ilimausaq, Kringlerne"
-28.298723,83.08317,2010,Citronen Fjord - Beach Zone South
-51.081442,64.412983,2005,Storø - Qingaaq
-46.001164,60.972686,2007,"Ilimausaq, Kvanefjeld"
-51.235673,66.655763,2005,Uniiviit - Smile Lake
