OBJECTID,Ny_grønlandsk,Gammel_grønlandsk,Dansk,Alternativt_stednavn,Indbyggertal_2016,Grundkort,.geo
65,Qeqertat,Qeqertat,Kraulshavn,,28,1,"{""type"":""Point"",""coordinates"":[-66.68628804906903,77.49422803299024]}"
66,Isertoq,Isertoq,Kraulshavn,"Siornatigut: Isortoq, Imaka Ignatiussen: Isertor",77,1,"{""type"":""Point"",""coordinates"":[-38.97597106629484,65.54821377819916]}"
67,Qaarsut,Qaersut,,,162,1,"{""type"":""Point"",""coordinates"":[-52.63622681435578,70.7305966295521]}"
68,Tasiusaq,Tasiussaq,,,42,1,"{""type"":""Point"",""coordinates"":[-44.81677794056915,60.19437797586388]}"
69,Akunnaaq,Akúnâq,,,86,1,"{""type"":""Point"",""coordinates"":[-52.32666663058915,68.74459770989988]}"
70,Illorsuit,Igdlorssuit,,,75,1,"{""type"":""Point"",""coordinates"":[-53.56502385855085,71.24168275560118]}"
71,Nuugaatsiaq,Nûgâtsiaq,,,95,1,"{""type"":""Point"",""coordinates"":[-53.21112252158262,71.5361667907477]}"
72,Kulusuk,Kulusuk,Kulusuk,"Pele Maratsi,: Qulusuk (PM)",257,1,"{""type"":""Point"",""coordinates"":[-37.18399995133233,65.5751092076705]}"
73,Moriusaq,,Kraulshavn,,0,2,"{""type"":""Point"",""coordinates"":[-69.84534738558773,76.75130264701058]}"
74,Eqalugaarsuit,Eqalugârssuit,,,75,1,"{""type"":""Point"",""coordinates"":[-45.90996265935596,60.62315364240129]}"
75,Upernavik Kujalleq,Upernavik kujatdleq,Søndre Upernavik,,187,1,"{""type"":""Point"",""coordinates"":[-55.52555823477244,72.15494726116236]}"
76,Nutaarmiut,Nutârmiut,,,41,1,"{""type"":""Point"",""coordinates"":[-56.428420936045825,73.51795299092774]}"
77,Niaqornaarsuk,Niaqornârssuk,,,260,1,"{""type"":""Point"",""coordinates"":[-52.858662850566574,68.23310184731913]}"
78,Oqaatsut,Oqaitsut,Rodebay,,27,1,"{""type"":""Point"",""coordinates"":[-51.00501769752073,69.34234972329622]}"
