drillhole_id,longitude,latitude,year,start_date,locality,company,licence,altitude
STQ 07-41,-51.080663,64.413425,2007,2007-07-18,Storø - Qingaaq,NunaMinerals A/S,2002/07,494.0
UMI02,-52.572556,71.638849,2010,2010-01-01,Umiamako,Avannaa Resources,2010/5,124.0
QEQ 01,-50.623331,69.640827,2010,2010-07-07,Qeqertaa,Avannaa Resources,2007/52,22.0
QEQ 02,-50.623408,69.640845,2010,2010-07-08,Qeqertaa,Avannaa Resources,2007/52,22.0
QEQ 03,-50.618939,69.640127,2010,2010-07-11,Qeqertaa,Avannaa Resources,2007/52,15.0
QEQ 04,-50.618104,69.640744,2010,2010-07-13,Qeqertaa,Avannaa Resources,2007/52,15.0
QEQ 05,-50.632176,69.641689,2010,2010-07-14,Qeqertaa,Avannaa Resources,2007/52,49.0
QEQ 06,-50.632176,69.641689,2010,2010-07-16,Qeqertaa,Avannaa Resources,2007/52,49.0
QEQ 07,-50.638464,69.643011,2010,2010-07-18,Qeqertaa,Avannaa Resources,2007/52,29.0
QEQ 09,-50.635551,69.641615,2010,2010-07-23,Qeqertaa,Avannaa Resources,2007/52,43.0
QEQ 10,-50.64498,69.643025,2010,2010-07-26,Qeqertaa,Avannaa Resources,2007/52,13.0
QEQ 11,-50.64498,69.643025,2010,2010-07-27,Qeqertaa,Avannaa Resources,2007/52,13.0
QEQ 12,-50.613826,69.639479,2010,2010-07-28,Qeqertaa,Avannaa Resources,2007/52,7.0
QEQ 13,-50.613826,69.639479,2010,2010-07-29,Qeqertaa,Avannaa Resources,2007/52,7.0
QEQ 14,-50.613826,69.639479,2010,2010-07-30,Qeqertaa,Avannaa Resources,2007/52,7.0
05DS01,-51.459421,66.35519,2005,2005-01-01,Spider Lake 01,Hudson Resources Inc.,2005/03,
05DS02,-51.456094,66.354043,2005,2005-01-01,Spider Lake 02,Hudson Resources Inc.,2005/03,
05DS03,-51.464004,66.352898,2005,2005-01-01,Spider Lake 03,Hudson Resources Inc.,2005/03,
05DS04,-51.464004,66.352898,2005,2005-01-01,Spider Lake 03,Hudson Resources Inc.,2005/03,
05DS05,-51.464004,66.352898,2005,2005-01-01,Spider Lake 03,Hudson Resources Inc.,2005/03,
05DS06,-51.461539,66.354915,2005,2005-01-01,Spider Lake 07,Hudson Resources Inc.,2005/03,
05DS07,-51.670769,66.361413,2005,2005-01-01,Garnet Lake 01,Hudson Resources Inc.,2005/03,
05DS08,-51.670769,66.361413,2005,2005-01-01,Garnet Lake 01,Hudson Resources Inc.,2005/03,
05DS09,-51.671816,66.361282,2005,2005-01-01,Garnet Lake 10,Hudson Resources Inc.,2005/03,
05DS10,-51.671357,66.360809,2005,2005-01-01,Garnet Lake 11,Hudson Resources Inc.,2005/03,
05DS11,-51.671036,66.360523,2005,2005-01-01,Garnet Lake 12,Hudson Resources Inc.,2005/03,
05DS12,-51.671036,66.360523,2005,2005-01-01,Garnet Lake 12,Hudson Resources Inc.,2005/03,
05DS13,-51.664388,66.366033,2005,2005-01-01,Garnet Lake 08,Hudson Resources Inc.,2005/03,
05DS14,-51.664388,66.366033,2005,2005-01-01,Garnet Lake 08,Hudson Resources Inc.,2005/03,
05DS15,-51.664509,66.366401,2005,2005-01-01,Garnet Lake 15,Hudson Resources Inc.,2005/03,
05DS16,-51.668903,66.369369,2005,2005-01-01,Garnet Lake 14,Hudson Resources Inc.,2005/03,
05DS17,-51.660268,66.365809,2005,2005-01-01,Garnet Lake 05,Hudson Resources Inc.,2005/03,
05DS18,-51.65814,66.36309,2005,2005-01-01,Garnet Lake 18,Hudson Resources Inc.,2005/03,
05DS19,-51.639565,66.362199,2005,2005-01-01,Garnet Lake 13,Hudson Resources Inc.,2005/03,
05DS20,-51.491347,66.344668,2005,2005-01-01,Conductor,Hudson Resources Inc.,2005/03,
05DS21,-51.491347,66.344668,2005,2005-01-01,Conductor,Hudson Resources Inc.,2005/03,
05DS22,-51.468101,66.555735,2005,2005-01-01,Bulls Eye,Hudson Resources Inc.,2005/03,
05DS23,-51.680246,66.36801,2005,2005-01-01,Garnet Lake 23,Hudson Resources Inc.,2005/03,
05DS24,-51.68162,66.367556,2005,2005-01-01,Garnet Lake 24,Hudson Resources Inc.,2005/03,
05DS25,-51.674249,66.364484,2005,2005-01-01,Garnet Lake 25,Hudson Resources Inc.,2005/03,
06DS03,-51.666983,66.361061,2006,2006-01-01,Garnet Lake East,Hudson Resources Inc.,2005/03,
06DS04,-51.660107,66.361386,2006,2006-01-01,Garnet Lake East,Hudson Resources Inc.,2005/03,
06DS05,-51.654112,66.362058,2006,2006-01-01,Garnet Lake East,Hudson Resources Inc.,2005/03,
06DS06,-51.668879,66.35672,2006,2006-01-01,Garnet Lake South,Hudson Resources Inc.,2005/03,
06DS10,-51.489204,66.451335,2006,2006-01-01,DeBeers Lake,Hudson Resources Inc.,2005/03,
06DS11,-51.499809,66.453347,2006,2006-01-01,DeBeers Lake,Hudson Resources Inc.,2005/03,
06DS12,-51.653266,66.36216,2006,2006-01-01,Garnet Lake East,Hudson Resources Inc.,2005/03,
06DS13,-51.653266,66.36216,2006,2006-01-01,Garnet Lake East,Hudson Resources Inc.,2005/03,
06DS14,-51.66575,66.363471,2006,2006-01-01,Garnet Lake North,Hudson Resources Inc.,2005/03,
07DS01,-52.07028,66.579338,2007,2007-01-01,Jovan Pick 37,Hudson Resources Inc.,2005/03,334.0
07DS03,-52.128286,66.564199,2007,2007-01-01,Jovan Pick 12,Hudson Resources Inc.,2005/03,429.0
07DS05,-52.256254,66.554649,2007,2007-01-01,Jovan Pick 39,Hudson Resources Inc.,2005/03,816.0
07DS06,-52.168097,66.544824,2007,2007-01-01,Jovan Pick 17,Hudson Resources Inc.,2005/03,389.0
07DS11,-52.40428,66.496361,2007,2007-01-01,Jovan Pick Block 2-21 ,Hudson Resources Inc.,2005/03,875.0
07DS12,-52.399991,66.496822,2007,2007-01-01,Jovan Pick Block 2-21 vicinity,Hudson Resources Inc.,2005/03,877.0
07DS13,-52.399991,66.496822,2007,2007-01-01,Jovan Pick Block 2-21 vicinity,Hudson Resources Inc.,2005/03,877.0
07DS16,-52.451132,66.497747,2007,2007-01-01,Jovan Pick block 2-5,Hudson Resources Inc.,2005/03,811.0
07DS17,-52.109616,66.641169,2007,2007-01-01,Jovan Pick 25,Hudson Resources Inc.,2005/03,675.0
07DS18,-52.109616,66.641169,2007,2007-01-01,Jovan Pick 25 opp. Direction,Hudson Resources Inc.,2005/03,675.0
07DS19,-52.028562,66.646754,2007,2007-01-01,Jovan Pick 36,Hudson Resources Inc.,2005/03,634.0
07DS20,-52.054988,66.658323,2007,2007-01-01,Jovan Pick 34,Hudson Resources Inc.,2005/03,660.0
07DS22,-52.071155,66.578713,2007,2007-01-01,Direction of Jovan Pick 37,Hudson Resources Inc.,2005/03,324.0
NIA 01,-52.789418,71.664579,2010,2010-01-01,Niaqornakassak,Avannaa Resources,2010/5,46.2
NIA 02,-52.789418,71.664579,2010,2010-01-01,Niaqornakassak,Avannaa Resources,2010/5,45.7
NIA 03,-52.775805,71.663583,2010,2010-01-01,Niaqornakassak,Avannaa Resources,2010/5,53.3
NIA 04,-52.775805,71.663583,2010,2010-01-01,Niaqornakassak,Avannaa Resources,2010/5,53.2
