name,licence_id,category,status,ownername,grantdate,expirydate,area_km2,liccode,appliccode,.geo
MIN 2015-39,842,Mining Exploitation Licence (MIN),Active License,Lumina Sustainable Materials A/S,2015-09-22,2045-09-22,95.77,MIN 2015-39,M-65,"{""type"":""MultiPolygon"",""coordinates"":[[[[-52.09998056,66.55],[-52.09998056,66.53333333],[-52.13331389,66.53333333],[-52.13331389,66.51666667],[-52.14998056,66.51666667],[-52.14998056,66.5],[-52.21664722,66.5],[-52.21664722,66.51666667],[-52.24997778,66.51666667],[-52.24997778,66.53333333],[-52.29997778,66.53333333],[-52.29997778,66.55],[-52.31664444,66.55],[-52.31664444,66.6],[-52.04998056,66.6],[-52.04998056,66.55],[-52.09998056,66.55],[-52.09998056,66.55]]]]}"
MIN 2020-54,28165,Mining Exploitation Licence (MIN),Active License,TANBREEZ MINING GREENLAND A/S,2020-09-08,2050-09-07,18,MIN 2020-54,M-MLSA-287,"{""type"":""MultiPolygon"",""coordinates"":[[[[-45.86666667,60.9],[-45.81666667,60.9],[-45.81666667,60.88333333],[-45.8,60.88333333],[-45.8,60.85],[-45.88333333,60.85],[-45.88333333,60.88333333],[-45.86666667,60.88333333],[-45.86666667,60.9],[-45.86666667,60.9]]]]}"
MIN 2014-21,838,Mining Exploitation Licence (MIN),Active License,Greenland Ruby A/S,2014-03-10,2044-03-07,17.39,MIN 2014-21,M-64,"{""type"":""MultiPolygon"",""coordinates"":[[[[-50.35,63.05],[-50.3,63.05],[-50.3,63.03333333],[-50.25,63.03333333],[-50.25,63.01666667],[-50.28333333,63.01666667],[-50.28333333,63],[-50.35,63],[-50.35,63.05],[-50.35,63.05]]]]}"
MEL 2021-56,156156,Mineral Exploration Licence (MEL),Active License,Anortech Inc.,2021-09-09,2026-12-31,10.36,MEL 2021-56,M-MLSA-306,"{""type"":""MultiPolygon"",""coordinates"":[[[[-50.75,64.76666667],[-50.65,64.76666667],[-50.65,64.74166667],[-50.71666667,64.74166667],[-50.71666667,64.71666667],[-50.75,64.71666667],[-50.75,64.76666667]]]]}"
MEL 2025-145,197404,Mineral Exploration Licence (MEL),Active License,Xploration Services Greenland A/S,2025-08-07,2029-12-31,118.37,MEL 2025-145,M-MLSA-469,"{""type"":""MultiPolygon"",""coordinates"":[[[[-28.98333333,71.9],[-28.96666667,71.9],[-28.96666667,71.88333333],[-28.85,71.88333333],[-28.85,71.9],[-28.8,71.9],[-28.8,71.86666667],[-28.81666667,71.86666667],[-28.81666667,71.85],[-28.86666667,71.85],[-28.86666667,71.86666667],[-29.03333333,71.86666667],[-29.03333333,71.88333333],[-28.98333333,71.88333333],[-28.98333333,71.9]]],[[[-28.65,71.83333333],[-28.61666667,71.83333333],[-28.61666667,71.81666667],[-28.58333333,71.81666667],[-28.58333333,71.76666667],[-28.65,71.76666667],[-28.65,71.83333333]]],[[[-28.35,71.75],[-28.31666667,71.75],[-28.31666667,71.73333333],[-28.28333333,71.73333333],[-28.28333333,71.71666667],[-28.26666667,71.71666667],[-28.26666667,71.66666667],[-28.31666667,71.66666667],[-28.31666667,71.76666667],[-28.35,71.76666667],[-28.35,71.75]]],[[[-28.23333333,71.96666667],[-28.08333333,71.96666667],[-28.08333333,71.95],[-28.01666667,71.95],[-28.01666667,71.93333333],[-28.21666667,71.93333333],[-28.21666667,71.88333333],[-28.13333333,71.88333333],[-28.13333333,71.86666667],[-28.06666667,71.86666667],[-28.06666667,71.85],[-28.1,71.85],[-28.1,71.81666667],[-28.03333333,71.81666667],[-28.03333333,71.83333333],[-27.95,71.83333333],[-27.95,71.81666667],[-28.01666667,71.81666667],[-28.01666667,71.8],[-28.05,71.8],[-28.05,71.78333333],[-28.1,71.78333333],[-28.1,71.8],[-28.13333333,71.8],[-28.13333333,71.78333333],[-28.15,71.78333333],[-28.15,71.81666667],[-28.16666667,71.81666667],[-28.16666667,71.85],[-28.18333333,71.85],[-28.18333333,71.86666667],[-28.28333333,71.86666667],[-28.28333333,71.9],[-28.23333333,71.9],[-28.23333333,71.96666667]]],[[[-27.45,71.81666667],[-27.4,71.81666667],[-27.4,71.8],[-27.36666667,71.8],[-27.36666667,71.78333333],[-27.45,71.78333333],[-27.45,71.81666667]]]]}"
MEL 2026-01,196433,Mineral Exploration Licence (MEL),Active License,Wally John Resources Greenland,2026-01-01,2030-12-31,97.99,MEL 2026-01,M-MLSA-460,"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.91666667,69.43333333],[-53.73333333,69.43333333],[-53.73333333,69.35],[-53.78333333,69.35],[-53.78333333,69.33333333],[-53.76666667,69.33333333],[-53.76666667,69.25],[-53.9,69.25],[-53.9,69.41666667],[-53.91666667,69.41666667],[-53.91666667,69.43333333],[-53.91666667,69.43333333]]]]}"
MEL 2022-08,160202,Mineral Exploration Licence (MEL),Active License,Nalunaq A/S,2022-06-03,2026-12-31,8.358,MEL 2022-08,M-MLSA-322,"{""type"":""MultiPolygon"",""coordinates"":[[[[-43.25,61.08333333],[-43.16666667,61.08333333],[-43.16666667,61.06666667],[-43.25,61.06666667],[-43.25,61.08333333]]]]}"
MEL 2006-10,499,Mineral Exploration Licence (MEL),Active License,Nalunaq A/S,2006-01-01,2026-12-31,32.3113,MEL 2006-10,M-2,"{""type"":""MultiPolygon"",""coordinates"":[[[[-44.86666667,60.68333333],[-44.81666667,60.68333333],[-44.81666667,60.66666667],[-44.83333333,60.66666667],[-44.83333333,60.65],[-44.9,60.65],[-44.9,60.66666667],[-44.86666667,60.66666667],[-44.86666667,60.68333333]]],[[[-45.05,60.58333333],[-44.98333333,60.58333333],[-44.98333333,60.55],[-45.05,60.55],[-45.05,60.58333333]]],[[[-44.81666667,60.38333333],[-44.75,60.38333333],[-44.75,60.36666667],[-44.81666667,60.36666667],[-44.81666667,60.38333333]]]]}"
MIN 2021-08,152167,Mining Exploitation Licence (MIN),Active License,Dundas Titanium A/S,2021-01-01,2050-12-31,12.77,MIN 2021-08,M-MLSA-297,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.95,76.78333333],[-69.8,76.78333333],[-69.8,76.76666667],[-69.7,76.76666667],[-69.7,76.75],[-69.5,76.75],[-69.5,76.73333333],[-69.3,76.73333333],[-69.3,76.71666667],[-69.2,76.71666667],[-69.2,76.7],[-69.08333333,76.7],[-69.08333333,76.67777778],[-69.28333333,76.67777778],[-69.28333333,76.68611111],[-69.4,76.70277778],[-69.86666667,76.75],[-69.95,76.75],[-69.95,76.78333333],[-69.95,76.78333333]]]]}"
MEL 2021-11,17233,Mineral Exploration Licence (MEL),Active License,Gardaq A/S,2021-03-02,2031-04-19,613.014,MEL 2021-11,M-240,"{""type"":""MultiPolygon"",""coordinates"":[[[[-42.85,61.01666667],[-42.66666667,61.01666667],[-42.66666667,60.96666667],[-42.76666667,60.96666667],[-42.76666667,60.91666667],[-42.86666667,60.91666667],[-42.86666667,60.85],[-42.98333333,60.85],[-42.98333333,60.83333333],[-43.06666667,60.83333333],[-43.06666667,60.8],[-43.11666667,60.8],[-43.11666667,60.78333333],[-43.5,60.78333333],[-43.5,60.83333333],[-43.16666667,60.83333333],[-43.16666667,60.86666667],[-43.08333333,60.86666667],[-43.08333333,60.88333333],[-42.95,60.88333333],[-42.95,60.91666667],[-42.91666667,60.91666667],[-42.91666667,60.95],[-42.85,60.95],[-42.85,61.01666667]]],[[[-43.28333333,60.66666667],[-43.23333333,60.66666667],[-43.23333333,60.65],[-43.06666667,60.65],[-43.06666667,60.63333333],[-43.01666667,60.63333333],[-43.01666667,60.58333333],[-43.15,60.58333333],[-43.15,60.53333333],[-43.28333333,60.53333333],[-43.28333333,60.48333333],[-43.65,60.48333333],[-43.65,60.5],[-43.93333333,60.5],[-43.93333333,60.58333333],[-43.78333333,60.58333333],[-43.78333333,60.63333333],[-43.68333333,60.63333333],[-43.68333333,60.61666667],[-43.51666667,60.61666667],[-43.51666667,60.56666667],[-43.33333333,60.56666667],[-43.33333333,60.58333333],[-43.3,60.58333333],[-43.3,60.6],[-43.28333333,60.6],[-43.28333333,60.66666667]]]]}"
